file,category_count,match_lines,categories,samples
tech-stack-generator/src/pages/Overview.tsx,16,110,Tailwind arbitrary [...](2); rem/em literal(1); z-index numeric(1); Tailwind duration/delay(1); animate-*(1); transition*(8); text-* size(17); padding/margin *(23); gap/space-*(10); w-/h-*(5); max/min w/h(3); rounded-*(7); Tailwind palette color(6); font-weight(10); tracking/leading(5); style object key(10),"L33:<div className=""absolute -top-10 -left-10 w-64 h-64 bg-brand-500/20 rounded-full blur-[6.25rem] pointer-events-none"" /> | L40:<h1 className=""text-5xl sm:text-6xl font-black text-docs-text-strong mb-6 leading-[1.1] tracking-tight""> | L33:<div className=""absolute -top-10 -left-10 w-64 h-64 bg-brand-500/20 rounded-full blur-[6.25rem] pointer-events-none"" /> | L54:<div className=""grid grid-cols-2 sm:grid-cols-4 gap-4 sm:gap-6 mt-12 relative z-10"">"
features/planner/onboarding/ProjectSetupStep.tsx,14,108,inline style={{ }}(1); hex color(1); Tailwind arbitrary [...](18); rem/em literal(3); transition*(2); text-* size(17); padding/margin *(12); gap/space-*(9); w-/h-*(8); max/min w/h(2); rounded-*(6); shadow*(2); font-weight(3); style object key(24),"L124:style={{ zIndex: Z.panel }} | L263:className=""typ-caption-lg text-[color:var(--color-danger,#dc2626)]"" | L123:className=""planner-setup-overlay bg-[color:var(--surface-inverse)]/88 backdrop-blur-sm"" | L126:<div className=""grid max-w-5xl rounded-[var(--radius-xl)] border border-[color:var(--border-soft)] bg-[color:var(--surfa"
features/planner/portal/PortalPlanPageView.tsx,10,102,Tailwind arbitrary [...](8); rem/em literal(8); text-* size(20); padding/margin *(24); gap/space-*(16); w-/h-*(2); max/min w/h(2); rounded-*(6); font-weight(10); tracking/leading(6),"L21:<div className=""rounded-[1.5rem] border border-soft bg-panel p-6""> | L22:<p className=""text-xs font-semibold uppercase tracking-[0.16em] text-soft"">Member portal</p> | L21:<div className=""rounded-[1.5rem] border border-soft bg-panel p-6""> | L22:<p className=""text-xs font-semibold uppercase tracking-[0.16em] text-soft"">Member portal</p>"
features/ops/CustomerQueriesOpsPageView.tsx,9,93,animate-*(2); text-* size(25); padding/margin *(28); gap/space-*(9); w-/h-*(2); rounded-*(14); Tailwind palette color(4); font-weight(3); tracking/leading(6),"L224:<RefreshCw className={`h-4 w-4 ${loading ? ""animate-spin"" : """"}`} /> | L236:<RefreshCw size={14} className={loading ? ""animate-spin"" : """"} /> | L214:<p className=""mt-2 text-sm text-neutral-600""> | L222:className=""inline-flex items-center gap-2 rounded-md border border-muted px-3 py-2 text-sm text-body hover:bg-page disab"
lib/ai/AiAdvisorPanel.tsx,18,86,inline style={{ }}(14); Tailwind arbitrary [...](2); rem/em literal(2); % literal(1); vh/vw(2); z-index numeric(2); animate-*(1); transition*(6); text-* size(8); padding/margin *(11); gap/space-*(7); w-/h-*(3); max/min w/h(3); rounded-*(8); shadow*(2); font-weight(2); tracking/leading(1); style object key(11),"L63:style={{ | L83:style={{ | L131:className=""w-full text-start text-xs px-3 py-2 rounded-lg border transition-colors hover:border-[var(--color-primary)]"" | L194:className=""flex-1 text-xs px-3 py-2 rounded-lg border outline-none transition-colors focus:border-[var(--color-primary)]"
features/planner/admin/AdminPlansPageView.tsx,12,83,Tailwind arbitrary [...](1); rem/em literal(1); animate-*(2); text-* size(22); padding/margin *(21); gap/space-*(8); w-/h-*(2); max/min w/h(2); rounded-*(9); Tailwind palette color(1); font-weight(9); tracking/leading(5),"L353:<label className=""min-w-[12rem] gap-1 text-sm""> | L353:<label className=""min-w-[12rem] gap-1 text-sm""> | L341:{loading ? <Loader2 size={14} className=""animate-spin"" aria-hidden /> : <RefreshCw size={14} aria-hidden />} | L505:<Loader2 size={16} className=""animate-spin"" aria-hidden />"
features/planner/_archive/fabric/editor/PlannerSketchRecoveryPanel.tsx,16,82,inline style={{ }}(1); Tailwind arbitrary [...](4); Npx literal(2); rem/em literal(4); vh/vw(1); transition*(6); text-* size(12); padding/margin *(11); gap/space-*(3); w-/h-*(1); rounded-*(9); shadow*(1); Tailwind palette color(12); font-weight(10); tracking/leading(4); style object key(1),"L54:style={{ zIndex: Z.panel }} | L53:className=""right-4 top-20 w-[min(34rem,calc(100vw-2rem))] rounded-2xl border border-slate-200 bg-white/95 shadow-2xl bac | L58:<p className=""text-[0.6875rem] font-semibold uppercase tracking-[0.22em] text-slate-500 dark:text-slate-400""> | L68:className=""rounded-full border border-slate-200 px-2 py-1 text-[11px] font-semibold uppercase tracking-[0.16em] text-sla"
features/planner/admin/AdminAnalyticsPageView.tsx,12,82,Tailwind arbitrary [...](1); rem/em literal(1); animate-*(2); text-* size(21); padding/margin *(20); gap/space-*(9); w-/h-*(2); max/min w/h(2); rounded-*(8); Tailwind palette color(1); font-weight(10); tracking/leading(5),"L158:<table className=""min-w-[28rem] text-start text-sm""> | L158:<table className=""min-w-[28rem] text-start text-sm""> | L93:{loading ? <Loader2 size={14} className=""animate-spin"" aria-hidden /> : <RefreshCw size={14} aria-hidden />} | L107:<Loader2 size={16} className=""animate-spin"" aria-hidden />"
features/shared/entry/SuiteLoginPage.tsx,15,81,rgb/rgba(1); Tailwind arbitrary [...](11); Npx literal(2); rem/em literal(6); transition*(3); text-* size(11); padding/margin *(9); gap/space-*(7); w-/h-*(4); max/min w/h(2); rounded-*(5); shadow*(2); font-weight(7); tracking/leading(8); style object key(3),"L27:className=""absolute inset-0 bg-[radial-gradient(circle_at_top_left,rgba(194,139,79,0.22),transparent_22%),radial-gradien | L25:<section className=""scheme-page relative min-h-screen overflow-hidden bg-[linear-gradient(140deg,#0b121b_0%,#111c29_45%, | L27:className=""absolute inset-0 bg-[radial-gradient(circle_at_top_left,rgba(194,139,79,0.22),transparent_22%),radial-gradien | L61:<p className=""text-[11px] font-semibold uppercase tracking-[0.24em] text-white/50"">"
app/(site)/compare/page.tsx,11,79,Tailwind arbitrary [...](22); Npx literal(1); rem/em literal(2); vh/vw(2); transition*(1); text-* size(10); padding/margin *(24); gap/space-*(7); w-/h-*(5); max/min w/h(4); style object key(1),"L162:<div className=""bg-[var(--surface-page)] pt-16""> | L163:<section className=""border-b border-[var(--border-soft)]""> | L270:sizes=""(max-width: 1024px) 100vw, 33vw"" | L175:<h1 className=""home-heading mt-4 max-w-4xl !text-[clamp(2.35rem,5vw,4.25rem)]"">"
features/planner/onboarding/OnboardingCoach.tsx,18,78,inline style={{ }}(2); Tailwind arbitrary [...](6); Npx literal(1); rem/em literal(4); vh/vw(1); Tailwind duration/delay(2); transition*(4); text-* size(9); padding/margin *(10); gap/space-*(5); w-/h-*(8); max/min w/h(4); rounded-*(8); shadow*(1); Tailwind palette color(2); font-weight(3); tracking/leading(2); style object key(6),"L182:<div className=""pointer-events-none"" style={{ zIndex: Z.sidebar }} aria-hidden={false}> | L199:style={{ width: `${progress}%` }} | L144:<div className=""min-h-[calc(90dvh-56px)] px-6 pb-6""> | L157:<h2 className=""text-[1.125rem] font-bold text-heading"">{mobileStep.title}</h2>"
app/sentry-example-page/page.tsx,5,76,hex color(14); rgb/rgba(1); Npx literal(24); vh/vw(1); style object key(36),"L140:color: #6341F0; | L145:color: #B3A1FF; | L128:background-color: rgba(24, 20, 35, 0.03); | L120:gap: 16px;"
features/planner/admin/AdminWorkspaceCatalogPageView.tsx,10,73,Tailwind arbitrary [...](2); rem/em literal(2); text-* size(18); padding/margin *(29); gap/space-*(1); w-/h-*(4); max/min w/h(4); rounded-*(5); font-weight(6); tracking/leading(2),"L68:<label className=""min-w-[12.5rem]""> | L101:<table className=""min-w-[50rem] text-start text-sm""> | L68:<label className=""min-w-[12.5rem]""> | L101:<table className=""min-w-[50rem] text-start text-sm"">"
lib/ui/KeyboardShortcuts.tsx,17,73,inline style={{ }}(16); Tailwind arbitrary [...](6); Npx literal(3); rem/em literal(4); % literal(1); vh/vw(1); z-index numeric(1); text-* size(8); padding/margin *(12); gap/space-*(3); w-/h-*(1); max/min w/h(1); rounded-*(2); shadow*(1); font-weight(2); tracking/leading(1); style object key(10),"L99:style={{ | L107:<div className=""flex items-center justify-between px-5 py-3 border-b"" style={{ borderColor: ""var(--border-soft, var(--co | L92:<div className=""fixed inset-0 z-[80] flex items-center justify-center""> | L98:className=""relative w-[32.5rem] max-w-[calc(100vw-2rem)] max-h-[70vh] rounded-xl shadow-2xl overflow-hidden flex flex-co"
features/shared/dashboard/DashboardClient.tsx,13,72,Tailwind arbitrary [...](4); rem/em literal(4); Tailwind duration/delay(1); transition*(2); text-* size(13); padding/margin *(15); gap/space-*(5); w-/h-*(3); max/min w/h(2); rounded-*(6); shadow*(1); font-weight(8); tracking/leading(8),"L35:className=""workspace-hub-card workspace-hub-card--link group flex h-full flex-col rounded-[1.35rem] border p-5 transitio | L52:<span className=""workspace-hub-card__cta mt-4 text-xs font-bold uppercase tracking-[0.1em]"">Open</span> | L35:className=""workspace-hub-card workspace-hub-card--link group flex h-full flex-col rounded-[1.35rem] border p-5 transitio | L52:<span className=""workspace-hub-card__cta mt-4 text-xs font-bold uppercase tracking-[0.1em]"">Open</span>"
tech-stack-generator/src/pages/Deployment.tsx,7,71,text-* size(15); padding/margin *(27); gap/space-*(8); w-/h-*(3); max/min w/h(2); rounded-*(6); font-weight(10),"L51:<h2 className=""text-xl font-bold text-docs-text-strong mb-4"">Deploy status</h2> | L72:<h2 className=""text-xl font-bold text-docs-text-strong"">Vercel configuration</h2> | L42:<div className=""max-w-5xl mx-auto px-6 py-10""> | L43:<header className=""mb-8"">"
lib/ui/SmartLayoutEngine.tsx,17,70,inline style={{ }}(10); Tailwind arbitrary [...](4); Npx literal(1); rem/em literal(3); vh/vw(1); z-index numeric(2); transition*(3); text-* size(8); padding/margin *(12); gap/space-*(6); w-/h-*(2); max/min w/h(1); rounded-*(4); shadow*(2); Tailwind palette color(1); font-weight(4); style object key(6),"L107:style={{ background: ""var(--color-primary, var(--color-ecru-500))"", color: ""white"" }} | L120:style={{ | L119:className=""fixed z-50 bottom-6 left-6 w-[23.75rem] max-w-[calc(100vw-2rem)] max-h-[32.5rem] rounded-xl border shadow-2xl | L178:<div className=""text-[0.6875rem] mt-0.5"" style={{ color: ""var(--text-muted, var(--color-bronze-700))"" }}>"
tech-stack-generator/src/pages/TechStack.tsx,13,70,Tailwind arbitrary [...](1); rem/em literal(2); Tailwind duration/delay(1); transition*(6); text-* size(10); padding/margin *(13); gap/space-*(8); w-/h-*(7); max/min w/h(4); rounded-*(8); shadow*(1); font-weight(8); tracking/leading(1),"L117:<span className=""inline-block px-2.5 py-1 rounded-md bg-docs-surface-strong/40 border border-docs-border-hover/30 text-[ | L77:<div key={category} className={`relative flex flex-col p-6 rounded-[2rem] bg-docs-surface/30 border border-docs-border/6 | L117:<span className=""inline-block px-2.5 py-1 rounded-md bg-docs-surface-strong/40 border border-docs-border-hover/30 text-[ | L92:<div key={tech.id ?? `${tech.name}-${tech.version}`} className=""group relative bg-docs-surface/50 hover:bg-docs-surface-"
features/planner/admin/AdminPlanDetailPageView.tsx,10,68,animate-*(1); text-* size(17); padding/margin *(12); gap/space-*(18); w-/h-*(2); max/min w/h(2); rounded-*(8); Tailwind palette color(2); font-weight(5); tracking/leading(1),"L146:<Loader2 size={16} className=""animate-spin"" aria-hidden /> | L134:return <div className=""p-8 text-sm text-muted"">Missing plan id.</div>; | L139:<Link href=""/admin/plans"" className=""inline-flex gap-2 text-sm text-muted hover:text-strong""> | L134:return <div className=""p-8 text-sm text-muted"">Missing plan id.</div>;"
features/shared/entry/ChooseProductPage.tsx,14,67,Tailwind arbitrary [...](14); Npx literal(1); rem/em literal(3); vh/vw(3); z-index numeric(1); transition*(4); text-* size(8); padding/margin *(14); gap/space-*(2); w-/h-*(5); max/min w/h(3); style object key(3); motion props(4); GSAP/anim duration(2),"L30:<section className=""bg-[var(--surface-page)] pt-16""> | L31:<div className=""grid lg:min-h-[calc(100vh-4rem)] lg:grid-cols-[0.95fr_1.05fr]""> | L38:sizes=""(max-width: 1024px) 100vw, 48vw"" | L31:<div className=""grid lg:min-h-[calc(100vh-4rem)] lg:grid-cols-[0.95fr_1.05fr]"">"
components/support/VisualIVR.tsx,16,64,Tailwind arbitrary [...](1); rem/em literal(1); Tailwind duration/delay(1); transition*(7); text-* size(8); padding/margin *(10); gap/space-*(6); w-/h-*(9); max/min w/h(1); rounded-*(1); shadow*(3); font-weight(7); tracking/leading(1); style object key(3); motion props(4); GSAP/anim duration(1),"L117:<div className=""w-full max-w-4xl mx-auto min-h-[31.25rem] bg-page border border-soft p-8 md:p-12 shadow-sm rounded-none"" | L117:<div className=""w-full max-w-4xl mx-auto min-h-[31.25rem] bg-page border border-soft p-8 md:p-12 shadow-sm rounded-none"" | L160:className=""group text-start p-6 bg-white border border-soft hover:border-primary hover:shadow-md transition-all duration | L122:<button onClick={handleBack} className=""flex items-center gap-1 hover:text-primary transition-colors"">"
tech-stack-generator/src/pages/Architecture.tsx,7,64,hex color(9); text-* size(16); padding/margin *(25); gap/space-*(4); w-/h-*(1); max/min w/h(1); font-weight(8),"L48:style Client fill:var(--color-dark-midnight-blue-750),stroke:#0ea5e9 | L49:style Edge fill:var(--color-dark-midnight-blue-700),stroke:#a855f7 | L149:<h2 className=""text-xl font-bold text-docs-text-strong mb-2"">High-Level System</h2> | L150:<p className=""text-sm text-docs-text-muted mb-4"">"
components/site/Header.tsx,12,62,z-index numeric(1); Tailwind duration/delay(3); animate-*(2); transition*(5); padding/margin *(19); gap/space-*(8); w-/h-*(7); max/min w/h(2); rounded-*(8); shadow*(5); font-weight(1); style object key(1),"L82:""fixed top-0 left-0 z-50 w-full border-b border-soft transition-shadow [background-color:var(--surface-glass-strong)] [t | L412:""transition-transform duration-300 ease-out"", | L478:className={`${headerSearchPanelClass} site-header-flyout animate-in fade-in slide-in-from-top-2 duration-300`} | L478:className={`${headerSearchPanelClass} site-header-flyout animate-in fade-in slide-in-from-top-2 duration-300`}"
features/planner/admin/AdminInventoryPageView.tsx,10,62,Tailwind arbitrary [...](2); rem/em literal(2); text-* size(16); padding/margin *(21); gap/space-*(1); w-/h-*(3); max/min w/h(3); rounded-*(5); font-weight(7); tracking/leading(2),"L113:className=""min-w-[16rem] rounded-lg border border-soft bg-panel px-3 py-2 text-sm"" | L154:<table className=""min-w-[48rem] text-start text-sm""> | L113:className=""min-w-[16rem] rounded-lg border border-soft bg-panel px-3 py-2 text-sm"" | L154:<table className=""min-w-[48rem] text-start text-sm"">"
features/planner/landing/PlannerFeaturePageView.tsx,9,62,Tailwind arbitrary [...](6); transition*(2); text-* size(5); padding/margin *(16); gap/space-*(11); w-/h-*(13); max/min w/h(1); rounded-*(3); style object key(5),"L44:<header className=""grid gap-10 border-b border-theme-soft pb-12 lg:grid-cols-[1.05fr_0.95fr]""> | L46:<div className=""scheme-accent-wash mb-6 h-14 w-14 rounded-2xl text-[color:var(--color-accent-strong)]""> | L102:className=""typ-label inline-flex shrink-0 gap-2 text-muted transition-colors hover:text-strong"" | L123:<span className=""typ-label inline-flex gap-1.5 text-[color:var(--color-bronze-500)] transition-all group-hover:gap-2.5"">"
app/(site)/products/[category]/FilterGridInner.tsx,13,61,Tailwind arbitrary [...](4); Npx literal(2); z-index numeric(2); animate-*(1); transition*(3); text-* size(3); padding/margin *(14); gap/space-*(10); w-/h-*(10); max/min w/h(3); rounded-*(6); shadow*(2); font-weight(1),"L416:<div className=""grid gap-6 lg:grid-cols-[15rem_minmax(0,1fr)] xl:grid-cols-[16.5rem_minmax(0,1fr)]""> | L467:<div className=""grid grid-cols-1 gap-4 min-[520px]:grid-cols-2 min-[520px]:gap-4 sm:gap-5 xl:grid-cols-3 2xl:grid-cols-4 | L467:<div className=""grid grid-cols-1 gap-4 min-[520px]:grid-cols-2 min-[520px]:gap-4 sm:gap-5 xl:grid-cols-3 2xl:grid-cols-4 | L493:className=""grid grid-cols-1 gap-4 min-[520px]:grid-cols-2 min-[520px]:gap-4 sm:gap-5 xl:grid-cols-3 2xl:grid-cols-4"""
tech-stack-generator/src/pages/ApiDesign.tsx,10,59,transition*(1); text-* size(12); padding/margin *(20); gap/space-*(7); w-/h-*(1); max/min w/h(1); rounded-*(1); Tailwind palette color(4); font-weight(10); tracking/leading(2),"L108:<div key={`${route.method}-${route.path}`} className=""grid grid-cols-12 gap-2 px-4 py-2.5 items-center hover:bg-docs-sur | L77:<h2 className=""text-xl font-bold text-docs-text-strong mb-4"">Design Patterns</h2> | L87:<h3 className=""text-sm font-semibold text-docs-text-strong mb-1"">{p.title}</h3> | L67:<div className=""max-w-5xl mx-auto px-6 py-10"">"
tech-stack-generator/src/pages/Performance.tsx,13,59,Npx literal(1); rem/em literal(1); vh/vw(1); text-* size(9); padding/margin *(19); gap/space-*(4); w-/h-*(2); max/min w/h(1); rounded-*(4); Tailwind palette color(3); font-weight(3); tracking/leading(2); style object key(9),"L195:sizes=""(max-width: 768px) 100vw, (max-width: 75rem) 50vw, 33vw"" | L195:sizes=""(max-width: 768px) 100vw, (max-width: 75rem) 50vw, 33vw"" | L195:sizes=""(max-width: 768px) 100vw, (max-width: 75rem) 50vw, 33vw"" | L111:<h3 className=""font-semibold text-docs-text-strong text-sm mb-1"">{opt.name}</h3>"
tech-stack-generator/src/pages/Security.tsx,9,58,text-* size(12); padding/margin *(17); gap/space-*(7); w-/h-*(3); max/min w/h(1); rounded-*(3); Tailwind palette color(4); font-weight(5); style object key(6),"L95:<h2 className=""text-xl font-bold text-docs-text-strong mb-4"">Security Layers</h2> | L104:<h3 className=""font-semibold text-docs-text-strong text-sm mb-2"">{layer.name}</h3> | L85:<div className=""max-w-5xl mx-auto px-6 py-10""> | L86:<header className=""mb-8"">"
app/(site)/products/[category]/FilterGrid.components.tsx,14,57,Tailwind arbitrary [...](1); Npx literal(1); rem/em literal(2); vh/vw(1); Tailwind duration/delay(1); transition*(10); text-* size(5); padding/margin *(10); gap/space-*(8); w-/h-*(8); rounded-*(6); shadow*(1); font-weight(2); style object key(1),"L262:className=""h-full w-full scale-[1.08] object-contain p-2 transition-transform duration-500 group-hover:scale-[1.13] sm:p | L261:sizes=""(max-width: 768px) 100vw, (max-width: 75rem) 50vw, 33vw"" | L174:checked ? ""left-[1.125rem]"" : ""left-[0.1875rem]"", | L261:sizes=""(max-width: 768px) 100vw, (max-width: 75rem) 50vw, 33vw"""
features/planner/landing/PlannerFeatureDemo.tsx,12,57,Tailwind arbitrary [...](4); rem/em literal(3); % literal(1); Tailwind duration/delay(20); text-* size(4); padding/margin *(5); gap/space-*(3); rounded-*(3); shadow*(2); font-weight(3); tracking/leading(2); style object key(7),"L209:className=""gap-2 rounded-[var(--radius-xl)] border border-[color:var(--border-soft)] bg-[color:var(--surface-panel-stron | L212:<p className=""typ-micro font-semibold uppercase tracking-[0.08em] text-[color:var(--text-muted)]""> | L42:<text x={x} y={y} fill={TEXT} fontSize=""12"" fontFamily={FONT} letterSpacing=""0.04em""> | L212:<p className=""typ-micro font-semibold uppercase tracking-[0.08em] text-[color:var(--text-muted)]"">"
tech-stack-generator/src/components/Sidebar.tsx,11,57,Tailwind arbitrary [...](2); rem/em literal(1); z-index numeric(3); Tailwind duration/delay(2); transition*(8); text-* size(9); padding/margin *(11); gap/space-*(7); w-/h-*(4); rounded-*(6); font-weight(4),"L98:<div className=""w-7 h-7 rounded-lg bg-gradient-to-br from-[var(--color-ocean-boat-blue-500)] to-[var(--color-bronze-500) | L118:<kbd className=""hidden sm:inline-flex items-center gap-1 px-1.5 py-0.5 bg-docs-surface-strong border border-docs-border  | L118:<kbd className=""hidden sm:inline-flex items-center gap-1 px-1.5 py-0.5 bg-docs-surface-strong border border-docs-border  | L145:className=""lg:hidden fixed top-4 left-4 z-50 p-2 rounded-lg bg-docs-surface-raised border border-docs-border text-docs-t"
app/(site)/opengraph-image.tsx,7,56,inline style={{ }}(9); hex color(6); rgb/rgba(1); Npx literal(4); rem/em literal(13); % literal(3); style object key(20),"L13:style={{ | L25:<div style={{ display: ""flex"", alignItems: ""center"", gap: ""1.25rem"" }}> | L19:background: ""linear-gradient(135deg, #05080C 0%, #0d1b2a 60%, #1b263b 100%)"", | L21:color: ""#FFFFFF"","
features/planner/ui/PlannerSessionDialog.tsx,11,55,Tailwind arbitrary [...](2); rem/em literal(1); animate-*(2); text-* size(4); padding/margin *(20); gap/space-*(10); w-/h-*(6); max/min w/h(3); rounded-*(1); tracking/leading(2); style object key(4),"L316:<Heading slot=""title"" className=""mt-3 typ-h3 text-[color:var(--planner-text-strong)]"">{SESSION_STRINGS.title}</Heading> | L397:{plan.statusLabel ? <p className=""mt-1 typ-caption uppercase tracking-[0.1em] text-[color:var(--planner-primary)]"">{plan | L397:{plan.statusLabel ? <p className=""mt-1 typ-caption uppercase tracking-[0.1em] text-[color:var(--planner-primary)]"">{plan | L116:const SESSION_STATUS_DOT_CLASS = ""h-1.5 w-1.5 rounded-full bg-warning animate-pulse"";"
